"Datetime","Filter_code","Codice.Stazione","Altitudine","Esposizione","LatUTM","LongUTM","Data","Ora","HS","Density_Avg","SWE_tot"
"2013-01-30 07:50:00","2013-01-30 07:50:00_26SP","26SP","1980","SW","714927","5140531","2013-01-30","07:50",90,279.367521367778,251.430769231
"2013-01-30 08:00:00","2013-01-30 08:00:00_42LU","42LU","2050","NE","706376","5136019","2013-01-30","08:00",0,NaN,0
"2013-01-30 08:25:00","2013-01-30 08:25:00_2RAB","2RAB","1335","S ","638591","5141136","2013-01-30","08:25",38,168.947368421053,64.2
"2013-01-30 08:30:00","2013-01-30 08:30:00_10PM","10PM","1760","SE","695429","5135226","2013-01-30","08:30",57,262.105263157895,149.4
"2013-01-30 08:30:00","2013-01-30 08:30:00_15TR","15TR","1550","W ","630778","5077835","2013-01-30","08:30",68,281.819578576471,191.637313432
"2013-01-30 08:30:00","2013-01-30 08:30:00_19PF","19PF","1170","SE","669131","5069560","2013-01-30","08:30",75,97.085520784,72.814140588
"2013-01-30 08:30:00","2013-01-30 08:30:00_1PEI","1PEI","1985","SE","627885","5136546","2013-01-30","08:30",91,276.615384615385,251.72
"2013-01-30 08:30:00","2013-01-30 08:30:00_35VC","35VC","1880","SE","712817","5126802","2013-01-30","08:30",99,250.518145952525,248.012964493
"2013-01-30 08:50:00","2013-01-30 08:50:00_22CI","22CI","2145","NE","712858","5147444","2013-01-30","08:50",101,252.461237108911,254.98584948
"2013-01-30 09:00:00","2013-01-30 09:00:00_24NO","24NO","1020","S ","719299","5113380","2013-01-30","09:00",42,267.045267490476,112.159012346
"2013-01-30 09:00:00","2013-01-30 09:00:00_29FL","29FL","1890","E ","642242","5127946","2013-01-30","09:00",108,268.852123762963,290.360293664
"2013-01-30 09:10:00","2013-01-30 09:10:00_30PN","30PN","2735","NE","621741","5120602","2013-01-30","09:10",226,323.266628206195,730.582579746
"2013-01-30 09:30:00","2013-01-30 09:30:00_13PR","13PR","1675","SW","698219","5135084","2013-01-30","09:30",67,282.819987014925,189.4893913
"2013-01-30 10:00:00","2013-01-30 10:00:00_25TO","25TO","1880","S ","623059","5124460","2013-01-30","10:00",115,298.086956521739,342.8
"2013-01-30 10:30:00","2013-01-30 10:30:00_3PIN","3PIN","1885","W ","639889","5114784","2013-01-30","10:30",100,253.940631929,253.940631929
"2013-01-31 08:00:00","2013-01-31 08:00:00_42LU","42LU","2050","NE","706376","5136019","2013-01-31","08:00",100,207,207
"2013-01-31 08:30:00","2013-01-31 08:30:00_16PT","16PT","1608","S ","705786","5110460","2013-01-31","08:30",57,216.223196880702,123.247222222
"2013-01-31 09:20:00","2013-01-31 09:20:00_0","0","NULL","\ ","NULL","NULL","2013-01-31","09:20",56,286.748340107143,160.57907046
"2013-01-31 09:30:00","2013-01-31 09:30:00_0","0","NULL","\ ","NULL","NULL","2013-01-31","09:30",153,167.504569738562,256.2819917
"2013-02-05 10:00:00","2013-02-05 10:00:00_20BA","20BA","1320","SW","689890","5113367","2013-02-05","10:00",95,257.252553021053,244.38992537
"2013-02-06 00:00:00","2013-02-06 00:00:00_14PO","14PO","1385","NW","706857","5144945","2013-02-06","00:00",51,261.854219945098,133.545652172
"2013-02-06 08:00:00","2013-02-06 08:00:00_12FO","12FO","1360","NW","671070","5087375","2013-02-06","08:00",50,271.14303582,135.57151791
"2013-02-06 08:00:00","2013-02-06 08:00:00_25TO","25TO","1880","S ","623059","5124460","2013-02-06","08:00",108,296.178170927778,319.872424602
"2013-02-06 08:00:00","2013-02-06 08:00:00_26SP","26SP","1980","SW","714927","5140531","2013-02-06","08:00",100,269.244611709,269.244611709
"2013-02-06 08:15:00","2013-02-06 08:15:00_2RAB","2RAB","1335","S ","638591","5141136","2013-02-06","08:15",36,282.110451436111,101.559762517
"2013-02-06 08:30:00","2013-02-06 08:30:00_10PM","10PM","1760","SE","695429","5135226","2013-02-06","08:30",73,287.501036328767,209.87575652
"2013-02-06 08:30:00","2013-02-06 08:30:00_1PEI","1PEI","1985","SE","627885","5136546","2013-02-06","08:30",100,258.04045024,258.04045024
"2013-02-06 08:35:00","2013-02-06 08:35:00_15TR","15TR","1550","W ","630778","5077835","2013-02-06","08:35",68,287.822771294118,195.71948448
"2013-02-06 08:45:00","2013-02-06 08:45:00_22CI","22CI","2145","NE","712858","5147444","2013-02-06","08:45",115,254.139242743478,292.260129155
"2013-02-06 09:00:00","2013-02-06 09:00:00_16PT","16PT","1608","S ","705786","5110460","2013-02-06","09:00",80,283.4273006125,226.74184049
"2013-02-06 09:00:00","2013-02-06 09:00:00_19PF","19PF","1170","SE","669131","5069560","2013-02-06","09:00",62,296.957980508065,184.113947915
"2013-02-06 09:00:00","2013-02-06 09:00:00_24NO","24NO","1020","S ","719299","5113380","2013-02-06","09:00",43,251.739176306977,108.247845812
"2013-02-06 09:00:00","2013-02-06 09:00:00_29FL","29FL","1890","E ","642242","5127946","2013-02-06","09:00",112,275.514771723214,308.57654433
"2013-02-06 09:10:00","2013-02-06 09:10:00_30PN","30PN","2735","NE","621741","5120602","2013-02-06","09:10",245,320.390927796735,784.957773102
"2013-02-06 09:20:00","2013-02-06 09:20:00_18SB","18SB","1600","SW","715519","5120132","2013-02-06","09:20",55,265.624058236364,146.09323203
"2013-02-06 10:00:00","2013-02-06 10:00:00_13PR","13PR","1675","SW","698219","5135084","2013-02-06","10:00",70,283.117236021429,198.182065215
"2013-02-06 10:30:00","2013-02-06 10:30:00_3PIN","3PIN","1885","W ","639889","5114784","2013-02-06","10:30",105,270,283.5
"2013-02-06 14:00:00","2013-02-06 14:00:00_35VC","35VC","1880","SE","712817","5126802","2013-02-06","14:00",106,259.773954318868,275.360391578
"2013-02-07 10:00:00","2013-02-07 10:00:00_43BU","43BU","2060","SW","709265","5145471","2013-02-07","10:00",85,239.80227704,203.831935484
"2013-02-11 09:50:00","2013-02-11 09:50:00_0","0","NULL","\ ","NULL","NULL","2013-02-11","09:50",79,170.538807050633,134.72565757
"2013-02-13 00:00:00","2013-02-13 00:00:00_1PEI","1PEI","1985","SE","627885","5136546","2013-02-13","00:00",100,261.265578291,261.265578291
"2013-02-13 00:00:00","2013-02-13 00:00:00_26SP","26SP","1980","SW","714927","5140531","2013-02-13","00:00",120,220.015547263333,264.018656716
"2013-02-13 07:40:00","2013-02-13 07:40:00_12FO","12FO","1360","NW","671070","5087375","2013-02-13","07:40",90,154.333333333333,138.9
"2013-02-13 08:00:00","2013-02-13 08:00:00_15TR","15TR","1550","W ","630778","5077835","2013-02-13","08:00",90,242.041459368889,217.837313432
"2013-02-13 08:00:00","2013-02-13 08:00:00_25TO","25TO","1880","S ","623059","5124460","2013-02-13","08:00",138,302.31884057971,417.2
"2013-02-13 08:25:00","2013-02-13 08:25:00_2RAB","2RAB","1335","S ","638591","5141136","2013-02-13","08:25",42,240.336946419048,100.941517496
"2013-02-13 08:30:00","2013-02-13 08:30:00_10PM","10PM","1760","SE","695429","5135226","2013-02-13","08:30",82,258.838094087805,212.247237152
"2013-02-13 08:40:00","2013-02-13 08:40:00_16PT","16PT","1608","S ","705786","5110460","2013-02-13","08:40",105,214.190476190476,224.9
"2013-02-13 08:45:00","2013-02-13 08:45:00_22CI","22CI","2145","NE","712858","5147444","2013-02-13","08:45",121,252.801217920661,305.889473684
"2013-02-13 08:55:00","2013-02-13 08:55:00_11AN","11AN","1047","NE","654463","5115044","2013-02-13","08:55",78,240.288963211538,187.425391305
"2013-02-13 09:00:00","2013-02-13 09:00:00_19PF","19PF","1170","SE","669131","5069560","2013-02-13","09:00",95,230.140350877895,218.633333334
"2013-02-13 09:00:00","2013-02-13 09:00:00_29FL","29FL","1890","E ","642242","5127946","2013-02-13","09:00",133,218.999251047368,291.269003893
"2013-02-13 09:30:00","2013-02-13 09:30:00_30PN","30PN","2735","NE","621741","5120602","2013-02-13","09:30",259,298.178514219691,772.282351829
"2013-02-13 10:00:00","2013-02-13 10:00:00_14PO","14PO","1385","NW","706857","5144945","2013-02-13","10:00",52,268.076923076923,139.4
"2013-02-13 10:15:00","2013-02-13 10:15:00_13PR","13PR","1675","SW","698219","5135084","2013-02-13","10:15",79,284.936708860759,225.1
"2013-02-13 16:30:00","2013-02-13 16:30:00_20BA","20BA","1320","SW","689890","5113367","2013-02-13","16:30",65,224.029517169231,145.61918616
